Name,Price,Rating,Room.Type,City,Bed(s)
Kimpton Monaco Chicago,‎$181,90,Private room,Chicago,1
Skyblue Apartment,‎$167,81,Private room,Chicago,1
The Langham,‎$316,96,Private room,Chicago,2
Swissotel Chicago,‎$159,86,Private room,Chicago,2
Trump International Hotel & Tower Chicago,‎$296,93,Private room,Chicago,2
Hyatt Regency McCormick Place,‎$134,85,Private room,Chicago,2
Warwick Allerton Hotel Chicago,‎$150,80,Private room,Chicago,2
Jaslin,‎$111,81,Private room,Chicago,2
The Whitehall,‎$139,80,Private room,Chicago,2
Hyatt Place Chicago/Downtown-The Loop,‎$161,86,Private room,Chicago,2
Raffaello,‎$179,83,Private room,Chicago,2
Congress Plaza,‎$117,68,Private room,Chicago,2
The Willows,‎$137,84,Private room,Chicago,2
Millennium Knickerbocker Chicago,‎$161,85,Private room,Chicago,2
River,‎$103,85,Private room,Chicago,2
Inn of Chicago - Magnificent Mile,‎$112,70,Private room,Chicago,2
Hyatt Place Chicago - River North,‎$170,89,Private room,Chicago,2
Embassy Suites by Hilton Chicago Downtown Magnificent Mile,‎$152,86,Private room,Chicago,2
Chicago's Essex Inn,‎$116,75,Private room,Chicago,2
Hilton Garden Inn Chicago Downtown Magnificent Mile,‎$130,87,Private room,Chicago,2
Hyatt Regency Chicago,"‎$1,034",84,Private room,Chicago,2
La Quinta Inn & Suites Chicago - Lake Shore,‎$159,78,Private room,Chicago,2
Marriott Chicago Downtown Magnificent Mile,‎$219,78,Private room,Chicago,2
Hard Rock Chicago,‎$161,82,Private room,Chicago,2
Inn at Lincoln Park,‎$159,68,Private room,Chicago,2
Dana Hotel & Spa,‎$189,88,Private room,Chicago,2
The Silversmith,‎$142,89,Private room,Chicago,2
Wyndham Grand Chicago Riverfront,‎$169,86,Private room,Chicago,2
Loews Chicago Hotel,‎$209,92,Private room,Chicago,2
Best Western Grant Park,‎$107,69,Private room,Chicago,2
Sheraton Grand Chicago,‎$199,82,Private room,Chicago,2
Sofitel Chicago Water Tower,‎$202,91,Private room,Chicago,2
Park Hyatt Chicago,‎$336,92,Private room,Chicago,2
Omni Chicago,‎$178,88,Private room,Chicago,2
Residence Inn Chicago Downtown/Loop,‎$239,88,Private room,Chicago,2
The Peninsula Chicago,‎$399,94,Private room,Chicago,2
Public Chicago,‎$183,85,Private room,Chicago,2
Courtyard Chicago Downtown Magnificent Mile,‎$170,87,Private room,Chicago,2
City Suites,‎$137,81,Private room,Chicago,2
Joie de Vivre Lincoln,‎$169,85,Private room,Chicago,2
Embassy Suites Chicago-Downtown,‎$145,86,Private room,Chicago,2
"The Gwen, a Luxury Collection Hotel, Chicago",‎$139,91,Private room,Chicago,2
MileNorth,‎$127,87,Private room,Chicago,2
Carleton Of Oak Park,‎$134,82,Private room,Chicago,2
Chicago South Loop,‎$107,78,Private room,Chicago,2
Felix,‎$127,80,Private room,Chicago,2
Holiday Inn Chicago-Mart Plaza Riverview,‎$127,82,Private room,Chicago,2
Ohio House Motel,‎$144,76,Private room,Chicago,2
Freehand Chicago,‎$149,86,Private room,Chicago,2
Four Seasons Hotel Chicago,‎$325,91,Private room,Chicago,2
Thompson Chicago,‎$229,92,Private room,Chicago,2
Chicago Athletic Association,‎$157,90,Private room,Chicago,2
Ohio House Motel,‎$144,86,Private room,Chicago,2
Freehand Chicago,‎$149,92,Private room,Chicago,2
Four Seasons Hotel Chicago,‎$325,69,Private room,Chicago,2
Thompson Chicago,‎$229,82,Private room,Chicago,2
Hyatt Chicago Magnificent Mile,‎$199,91,Private room,Chicago,2
Chicago Athletic Association,‎$157,92,Private room,Chicago,2
The Westin Michigan Avenue Chicago,‎$199,88,Private room,Chicago,2
Hilton Suites Chicago-Magnificent Mile,‎$143,88,Private room,Chicago,2
Hilton Chicago,‎$199,94,Private room,Chicago,2
