Price,Room.Type,City,Bed(s),Property.Form,Avg
164,Private room,la,2,hotel,204.65
532,Private room,la,2,hotel,204.65
179,Private room,la,2,hotel,204.65
104,Private room,la,2,hotel,204.65
189,Private room,la,2,hotel,204.65
215,Private room,la,2,hotel,204.65
209,Private room,la,2,hotel,204.65
80,Private room,la,2,hotel,204.65
105,Private room,la,2,hotel,204.65
229,Private room,la,2,hotel,204.65
116,Private room,la,2,hotel,204.65
169,Private room,la,2,hotel,204.65
150,Private room,la,2,hotel,204.65
278,Private room,la,2,hotel,204.65
119,Private room,la,2,hotel,204.65
174,Private room,la,2,hotel,204.65
218,Private room,la,2,hotel,204.65
129,Private room,la,2,hotel,204.65
119,Private room,la,2,hotel,204.65
129,Private room,la,2,hotel,204.65
269,Private room,la,2,hotel,204.65
129,Private room,la,2,hotel,204.65
200,Private room,la,2,hotel,204.65
185,Private room,la,2,hotel,204.65
316,Private room,ch,1,hotel,177.45
159,Private room,ch,1,hotel,177.45
296,Private room,ch,1,hotel,177.45
199,Private room,ch,1,hotel,177.45
152,Private room,ch,1,hotel,177.45
159,Private room,ch,1,hotel,177.45
143,Private room,ch,1,hotel,177.45
116,Private room,ch,1,hotel,177.45
325,Private room,ch,1,hotel,177.45
169,Private room,ch,1,hotel,177.45
229,Private room,ch,1,hotel,177.45
112,Private room,ch,1,hotel,177.45
134,Private room,ch,1,hotel,177.45
127,Private room,ch,1,hotel,177.45
142,Private room,ch,1,hotel,177.45
157,Private room,ch,1,hotel,177.45
127,Private room,ch,1,hotel,177.45
203,Private room,ch,1,hotel,177.45
159,Private room,ch,1,hotel,177.45
178,Private room,ch,1,hotel,177.45
130,Private room,ch,1,hotel,177.45
103,Private room,ch,1,hotel,177.45
137,Private room,ch,1,hotel,177.45
149,Private room,ch,1,hotel,177.45
139,Private room,ch,1,hotel,177.45
159,Private room,ch,1,hotel,177.45
157,Private room,ch,1,hotel,177.45
219,Private room,ch,1,hotel,177.45
199,Private room,ch,1,hotel,177.45
170,Private room,ch,1,hotel,177.45
199,Private room,ch,1,hotel,177.45
119,Private room,ch,1,hotel,177.45
149,Private room,ch,1,hotel,177.45
112,Private room,ch,1,hotel,177.45
179,Private room,ch,1,hotel,177.45
111,Private room,ch,1,hotel,177.45
209,Private room,ch,1,hotel,177.45
118,Private room,ch,1,hotel,177.45
159,Private room,ch,1,hotel,177.45
179,Private room,ch,1,hotel,177.45
103,Private room,ch,1,hotel,177.45
202,Private room,ch,1,hotel,177.45
