Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
2, 1,0,1, 5PM - 8PM, 11AM, Apartment, Entire home/apt, No Charge, 5%, 10%, Strict, within a few hours,10999421,75,46,sf,37.5
2, 1,1,1,,, Apartment, Private room, No Charge,,, Flexible, within an hour,13981030,90,47,sf,45
2, 1 (Shared),1,1,,, Apartment, Private room, No Charge,,, Flexible,,14155936,130,48,sf,65
3, 1 (Private),1,2, 3PM - 12AM (midnight), 11AM, Apartment, Entire home/apt, No Charge, 5%, 30%, Strict, within a few hours,9275279,112,49,sf,37.3333333333333
2, 1.5,1,2,,, House, Private room,, 11%, 27%, Flexible, within an hour,9780114,175,50,sf,87.5
2, 1 (Shared),1,1,,, Apartment, Private room, No Charge,,, Flexible, within an hour,13996915,190,51,sf,95
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Flexible, within an hour,12023104,115,52,sf,57.5
1, 1 (Shared),1,1, 3PM - 5PM, 11AM, House, Private room,, 10%, 20%, Flexible, within an hour,13732998,150,53,sf,150
2, 1,1,1, Flexible, 12PM (noon), House, Entire home/apt, No Charge,,, Flexible, within an hour,13899585,100,54,sf,50
2, 1,1,1,,, House, Private room,, 20%, 0%, Flexible, within an hour,8171889,125,55,sf,62.5
2, 1 (Shared),1,1, Anytime after 1PM, 12PM (noon), Apartment, Private room, No Charge, 10%, 20%, Strict, within an hour,1551553,180,56,sf,90
2, 1,0,1,,, Apartment, Entire home/apt, No Charge,,, Moderate, within an hour,11035236,90,57,sf,45
1, 1,1,1, Anytime after 2PM, 11AM, Townhouse, Private room,, 15%, 25%, Moderate, within a few hours,13801466,195,58,sf,195
2, 1 (Private),1,1, Anytime after 3PM,, Condominium, Private room, $25 / night after the first guest, 4%, 7%, Flexible, within an hour,14027924,109,59,sf,54.5
2, 1,1,1,,, Condominium, Private room, No Charge, 0%, 15%, Strict, within an hour,10088395,100,60,sf,50
1, 1,1,1, Anytime after 4PM, 10AM, House, Private room,, 0%, 0%, Moderate,,10001209,160,61,sf,160
2, 1,1,1, Anytime after 11AM, 3PM, Apartment, Private room, No Charge,,, Strict,,11340259,119,62,sf,59.5
2, 1,1,1,,, Apartment, Private room, No Charge,,, Flexible, within a few hours,14014664,145,63,sf,72.5
2, 1,1,1,, 12PM (noon), Apartment, Private room, No Charge, 0%, 0%, Flexible, within an hour,13552280,190,64,sf,95
1, 1,1,1, 4PM - 2AM (next day), 11AM, Apartment, Private room,,,, Strict, within an hour,10836169,110,65,sf,110
2, 1,1,1, Anytime after 9AM, 3PM, Apartment, Entire home/apt, No Charge, 18%, 42%, Strict,,7952959,78,66,sf,39
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room,, 0%, 0%, Flexible, within a few hours,10418322,160,67,sf,80
2, 1,1,1, 2PM - 6PM, 11AM, Apartment, Entire home/apt, No Charge, 10%, 0%, Flexible, within an hour,13167405,75,68,sf,37.5
2, 1,1,1, 3PM - 10PM, 12PM (noon), House, Private room, No Charge,,, Flexible, within a day,13349903,125,69,sf,62.5
2, 1,1,1, Anytime after 2PM, 10AM, House, Private room, No Charge, 10%, 0%, Flexible, within an hour,9730358,79,70,sf,39.5
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Moderate, within an hour,6729923,79,71,sf,39.5
2, 1 (Shared),1,1,,, House, Private room, No Charge, 10%, 10%, Strict, within an hour,7264532,150,72,sf,75
1, 1 (Shared),1,1,,, Apartment, Shared room,,,, Moderate, within an hour,13788948,150,73,sf,150
2, 1,1,2, Anytime after 3PM, 12PM (noon), House, Entire home/apt,, 15%, 45%, Moderate, within an hour,5970639,89,74,sf,44.5
1, 1,1,1, Anytime after 4PM, 10AM, Apartment, Private room,, 10%, 20%, Moderate, within an hour,12024261,92,75,sf,92
1, 1,1,1, Anytime after 2PM, 11AM, Townhouse, Private room,, 15%, 25%, Moderate, within a few hours,14025282,150,76,sf,150
2, 1 (Shared),1,1, Anytime after 4PM, 11AM, Apartment, Private room,,,, Strict, within an hour,10357638,245,77,sf,122.5
2, 0,1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 15%, 49%, Flexible, within an hour,13168898,125,78,sf,62.5
2, 1.5 (Shared),1,1,, 12PM (noon), Apartment, Private room, No Charge, 0%, 0%, Moderate, within an hour,8101297,185,79,sf,92.5
2, 1.5,1,1,, 11AM, Condominium, Entire home/apt, No Charge, 0%, 0%, Flexible, within an hour,13803420,140,80,sf,70
2, 1 (Private),0,1,,, Apartment, Entire home/apt, No Charge, 5%, 0%, Strict, within an hour,2800717,128,81,sf,64
3, 1,1,2, Anytime after 2PM, 11AM, House, Entire home/apt, $25 / night after 2 guests, 10%, 15%, Strict, within a few hours,4252808,90,82,sf,30
2, 1,1,1, Anytime after 3PM, 10AM, House, Entire home/apt, No Charge, 0%, 40%, Moderate, within an hour,5154242,85,83,sf,42.5
2, 0.5,1,1,,, House, Private room, No Charge,,, Flexible, within an hour,12026845,110,84,sf,55
1, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Shared room,,,, Strict, within an hour,13220657,159,85,sf,159
2, 1.5,1,1, 2PM - 7PM, 11AM, Apartment, Private room, No Charge, 15%, 30%, Moderate, within an hour,13116752,80,86,sf,40
