Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
 2, 1,1,1,,, Apartment, Private room, $5 / night after the first guest, 0%, 0%, Flexible, within an hour,13894166,58,43,ny,14.5
 2, 1,1,1,,, Apartment, Entire home/apt, No Charge, 0%, 0%, Flexible, within an hour,6478214,175,44,ny,43.75
 2, 1 (Shared),1,1, Anytime after 1PM, 11AM, Apartment, Private room, No Charge,,, Strict, within an hour,14051965,65,45,ny,16.25
 2, 1,0,1, Anytime after 11AM, 3PM, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13258556,120,46,ny,30
 2, 1,1,1,,, Apartment, Private room, No Charge,,, Flexible, within a few hours,13769969,60,47,ny,15
 2, 1 (Private),0,1,,, Apartment, Entire home/apt, No Charge, 0%, 0%, Flexible, within an hour,13236483,154,48,ny,38.5
 2, 1 (Private),0,1, Flexible,, Apartment, Entire home/apt, No Charge,,, Moderate, within an hour,13248038,72,49,ny,18
 2, 1,0,1, Flexible,, Apartment, Entire home/apt, No Charge, 10%, 0%, Strict, within an hour,7178827,185,50,ny,46.25
 2, 2 (Shared),1,1, Anytime after 2PM, 12PM (noon), Apartment, Private room, $10 / night after the first guest, 0%, 0%, Moderate, within an hour,6480509,57,51,ny,14.25
 1, 1,1,1, 3PM - 10PM, 1PM, Apartment, Private room,,,, Flexible, within an hour,13044668,70,52,ny,70
 2, 1 (Shared),1,1,,, Apartment, Private room, No Charge,,, Flexible, within an hour,13744371,49,53,ny,12.25
 1, 1 (Shared),1,1,,, Apartment, Private room,,,, Moderate, within an hour,13912003,55,54,ny,55
 2, 1,1,1, Flexible, 12PM (noon), Apartment, Private room, $20 / night after the first guest, 0%, 0%, Strict, within an hour,7729132,175,55,ny,43.75
 1, 1 (Shared),1,4, 8AM - 12AM (midnight),, Apartment, Shared room,,,, Flexible, within an hour,13857142,14,56,ny,14
 2, 1,1,2,,, Apartment, Private room, $8 / night after the first guest,,, Flexible, within a few hours,13397167,60,57,ny,15
 2, 1,1,1, Anytime after 12PM (noon), 12PM (noon), Apartment, Private room, No Charge, 5%, 7%, Strict, within an hour,3081756,82,58,ny,20.5
 2, 1,1,1, Anytime after 4PM, 11AM, Apartment, Private room, No Charge, 0%, 0%, Strict, within an hour,4815915,70,59,ny,17.5
 2, 2 (Shared),1,1, 2PM - 10PM, 11AM, Apartment, Private room, No Charge,,, Moderate, within an hour,13828357,105,60,ny,26.25
 2, 1 (Private),1,1, Flexible, 1PM, Apartment, Private room, No Charge,,, Flexible, within an hour,13881214,95,61,ny,23.75
 2, 1.5 (Shared),1,1,,, Apartment, Private room, No Charge,,, Moderate, within an hour,12685588,100,62,ny,25
 4, 1,0,2,,, Apartment, Entire home/apt, $25 / night after 2 guests,,, Flexible, within an hour,13634009,125,63,ny,20.8333333333333
 4, 1,0,1, Anytime after 3PM, 11AM, Loft, Entire home/apt, $10 / night after 3 guests, 5%, 16%, Moderate, within an hour,1981590,139,64,ny,23.1666666666667
 2, 3 (Shared),1,1, 1PM - 2AM (next day), 11AM, House, Private room, No Charge, 0%, 16%, Moderate, within an hour,3747454,88,65,ny,22
 2, 1,1,1,,, Apartment, Private room, No Charge, 10%, 30%, Moderate, within an hour,8015917,55,66,ny,13.75
 4, 1,1,1,,, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,5482154,350,67,ny,58.3333333333333
 2, 1,1,1,,, Apartment, Entire home/apt, No Charge, 0%, 0%, Flexible, within an hour,6478214,70,68,ny,17.5
 2, 1,1,1,,, House, Private room,, 10%, 33%, Flexible, within an hour,8436207,30,69,ny,7.5
 2, 1 (Private),1,2, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, No Charge,,, Moderate,,14167368,79,70,ny,19.75
 2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt,, 0%, 25%, Strict, within an hour,2629613,45,71,ny,11.25
 3, 1 (Private),0,2, 6PM - 11PM, 2PM, Apartment, Entire home/apt, $25 / night after 2 guests, 10%, 18%, Strict, within an hour,10670422,125,72,ny,25
 1, 1,1,1, Anytime after 8PM, 6PM, Apartment, Shared room,, 1%, 19%, Flexible, within a few hours,1323801,90,73,ny,90
 2, 1,1,1, Anytime after 4PM, 11AM, Apartment, Private room, No Charge, 5%, 10%, Strict, within an hour,4758046,125,74,ny,31.25
 2, 1 (Private),1,1,,, Apartment, Private room,, 13%, 15%, Flexible, within an hour,13004484,70,75,ny,17.5
 2, 1,0,1, Anytime after 12PM (noon),, Bed & Breakfast, Entire home/apt, No Charge, 7%, 18%, Strict, within an hour,6373582,80,76,ny,20
 1, 2,1,1, Flexible, 11AM, Apartment, Private room,, 0%, 0%, Flexible, within an hour,13450434,235,77,ny,235
 3, 1 (Private),0,1, Anytime after 1PM, 12PM (noon), Apartment, Entire home/apt, No Charge, 10%, 20%, Moderate, within an hour,14166247,58,78,ny,11.6
 2, 0.5,0,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, No Charge, 0%, 0%, Moderate, within an hour,9511360,65,79,ny,16.25
 2, 1 (Shared),1,1, 3PM - 11PM, 12PM (noon), Apartment, Private room,, 5%, 10%, Moderate, within an hour,14077328,150,80,ny,37.5
 2, 1 (Shared),1,1, 6PM - 10PM, 12PM (noon), Apartment, Private room, $15 / night after the first guest, 0%, 0%, Moderate, within an hour,8611602,110,81,ny,27.5
 2, 1,1,1, Flexible, 10AM, Apartment, Private room,, 8%, 27%, Moderate, within an hour,13884778,109,82,ny,27.25
 3, 1,1,1,,, Apartment, Entire home/apt, $10 / night after 2 guests, 0%, 0%, Strict, within an hour,3615525,75,83,ny,15
 6, 1,0,3, 1PM - 2AM (next day), 11AM, Apartment, Entire home/apt, $20 / night after 2 guests, 0%, 0%, Moderate, within an hour,12903170,70,84,ny,10
 3, 1,1,1,,, Apartment, Entire home/apt, No Charge, 0%, 0%, Flexible, within an hour,13332614,72,85,ny,14.4
 2, 1,0,1, Anytime after 3PM,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,14039714,90,86,ny,22.5
 2, 1 (Private),0,1,,, Apartment, Entire home/apt, No Charge, 0%, 0%, Flexible, within an hour,13449653,225,87,ny,56.25
 2, 1,0,1, Anytime after 11AM, 3PM, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13258556,65,88,ny,16.25
 2, 1 (Shared),1,1,, 12PM (noon), Apartment, Shared room, No Charge,,, Flexible, within an hour,9215908,125,89,ny,31.25
 1, 1,1,1,,, Apartment, Private room,, 0%, 0%, Flexible,,6716199,56,90,ny,56
 2, 1,1,1, Anytime after 1PM, 11AM, Apartment, Entire home/apt, $10 / night after the first guest, 0%, 20%, Moderate, within an hour,13398514,85,91,ny,21.25
 1, 1 (Shared),1,1, Anytime after 3PM, 11AM, Apartment, Private room,, 0%, 0%, Moderate, within an hour,4564695,133,92,ny,133
 2, 1,0,1, 7PM - 10PM, 2PM, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,14094480,65,93,ny,16.25
 2, 2,1,1,,, Apartment, Private room,, 0%, 0%, Moderate, within a few hours,2284027,250,94,ny,62.5
 2, 1,1,1,,, Apartment, Private room, No Charge,,, Strict, within an hour,14082332,85,95,ny,21.25
 2, 1,1,1, Anytime after 2PM, 10AM, Apartment, Private room, No Charge, 0%, 0%, Strict, within an hour,9828717,99,96,ny,24.75
 4, 1,1,2, Flexible, 12PM (noon), Apartment, Entire home/apt, No Charge, 0%, 0%, Moderate, within an hour,13357996,65,97,ny,10.8333333333333
 2, 1 (Shared),1,1, Anytime after 3PM,, Apartment, Private room, $20 / night after the first guest, 15%, 45%, Flexible, within a few hours,14055625,55,98,ny,13.75
 2, 1.5 (Shared),1,1, Anytime after 3PM, 11AM, Apartment, Private room, $10 / night after the first guest, 0%, 0%, Strict, within an hour,6438856,60,99,ny,15
 2, 2,1,1,,, Apartment, Entire home/apt, No Charge, 20%,, Flexible, within an hour,7999279,140,100,ny,35
 2, 1 (Shared),1,1,,, Apartment, Private room, $10 / night after the first guest, 12%, 16%, Strict, within an hour,6336834,50,101,ny,12.5
 2, 1,0,1, Anytime after 1PM, 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,3715824,25,102,ny,6.25
 1, 1 (Shared),1,1, Anytime after 2PM, 11AM, Apartment, Private room,, 0%,, Moderate, within an hour,13943486,85,103,ny,85
 3, 1,1,2, 3PM - 2AM (next day), 12PM (noon), Apartment, Private room,, 5%, 15%, Moderate, within an hour,8775462,150,104,ny,30
 2, 1,1,1,,, Apartment, Private room, $15 / night after the first guest, 0%, 0%, Moderate, within an hour,6936157,200,105,ny,50
 2, 1,1,1,,, Apartment, Entire home/apt,, 0%,, Moderate, within an hour,3631473,198,106,ny,49.5
 2, 1 (Private),1,1,,, Apartment, Entire home/apt, No Charge, 0%,, Flexible, within a few hours,13604994,75,107,ny,18.75
 1, 1,1,1, 4PM - 12AM (midnight), 12PM (noon), House, Private room,, 7%, 27%, Moderate, within an hour,3429765,75,108,ny,75
 4, 1,1,2, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, No Charge,,, Strict, within an hour,9448567,80,109,ny,13.3333333333333
 4, 1,1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $20 / night after the first guest,,, Strict, within an hour,14163634,64,110,ny,10.6666666666667
 2, 1,0,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,9477214,55,111,ny,13.75
 2, 1,1,1, 8AM - 11PM, 11AM, Apartment, Private room, $5 / night after the first guest, 10%,, Moderate, within an hour,12088134,100,112,ny,25
 4, 1,0,2, 8AM - 12PM (noon), 12PM (noon), Loft, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,4482049,65,113,ny,10.8333333333333
 6, 1 (Private),2,2, 12PM (noon) - 9PM, 11AM, Apartment, Entire home/apt, $15 / night after 4 guests, 0%, 0%, Strict, within an hour,13797929,30,114,ny,4.28571428571429
 1, 1 (Shared),1,1,,, Apartment, Private room,,,, Flexible, within an hour,13941484,65,115,ny,65
 2, 1,1,1, Anytime after 3PM, 11AM, House, Private room, No Charge, 10%, 25%, Flexible, within an hour,9833962,100,116,ny,25
 3, 1,1,2, 3PM - 2AM (next day), 12PM (noon), Apartment, Private room,, 5%, 15%, Moderate, within an hour,8775462,150,117,ny,30
 2, 1,1,1,,, Apartment, Private room, No Charge, 10%, 0%, Moderate, within an hour,8185787,64,118,ny,16
 2, 1,1,1, Anytime after 2PM, 12PM (noon), Apartment, Private room, $10 / night after the first guest, 9%, 0%, Moderate, within an hour,6887308,70,119,ny,17.5
 2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt,, 14%, 14%, Moderate,,10069964,150,120,ny,37.5
 2, 1 (Shared),1,1, Anytime after 3PM,, Apartment, Shared room, No Charge, 10%, 15%, Flexible, within an hour,14178893,350,121,ny,87.5
 1, 1 (Private),1,1, Anytime after 3PM, 1AM, Apartment, Private room,,,, Flexible, within an hour,13800824,225,122,ny,225
 3, 1,1,1,,, Apartment, Entire home/apt, No Charge, 10%, 15%, Flexible, within an hour,10545534,198,123,ny,39.6
