Name,Price,Rating,Room.Type,City,Bed(s)
JW Marriott Union Square,‎$249,84,Private room,San Francisco,1
Cornell de France,‎$182,83,Private room,San Francisco,1
The Ritz-Carlton San Francisco,‎$343,87,Private room,San Francisco,1
City Center& Inn Suites,‎$165,54,Private room,San Francisco,1
Hotel G San Francisco,‎$212,82,Private room,San Francisco,1
W San Francisco,‎$307,82,Private room,San Francisco,1
Holiday Inn San Francisco Fishermans Wharf,‎$243,76,Private room,San Francisco,1
Loews Regency San Francisco Hotel,‎$399,90,Private room,San Francisco,1
Powell,‎$220,72,Private room,San Francisco,1
Courtyard San Francisco Downtown,‎$259,83,Private room,San Francisco,1
Courtyard San Francisco Union Square,‎$229,79,Private room,San Francisco,1
Mystic Hotel by Charlie Palmer ex Charlie Palmer,‎$195,80,Private room,San Francisco,1
Holiday Inn Express San Francisco Fishermans Wharf,‎$243,82,Private room,San Francisco,1
Best Western Plus Tuscan Inn,‎$209,84,Private room,San Francisco,1
San Francisco Marriott Union Square,‎$229,84,Private room,San Francisco,1
Civic Center Motor Inn,‎$154,64,Private room,San Francisco,1
The Marker San Francisco,‎$195,86,Private room,San Francisco,1
Hotel Drisco,‎$410,93,Private room,San Francisco,1
Inn at the Opera,‎$209,81,Private room,San Francisco,1
The Opal  San Francisco,‎$169,73,Private room,San Francisco,1
The Herbert,‎$650,76,Private room,San Francisco,1
Vitale,‎$325,89,Private room,San Francisco,1
The Andrews,‎$199,76,Private room,San Francisco,1
Cova,‎$205,76,Private room,San Francisco,1
Stratford on the Square,‎$149,75,Private room,San Francisco,1
Inn at Union Square,‎$188,90,Private room,San Francisco,1
La Luna Inn,‎$169,70,Private room,San Francisco,1
Courtyard San Francisco Fisherman's Wharf,‎$249,82,Private room,San Francisco,1
W San Francisco,‎$280,82,Private room,San Francisco,1
Cornell de France,‎$182,83,Private room,San Francisco,1
Del Sol a Joie de Vivre Boutique,‎$239,81,Private room,San Francisco,1
The St Regis San Francisco,‎$395,90,Private room,San Francisco,1
Washington Square Inn,‎$249,83,Private room,San Francisco,1
Diva,‎$199,79,Private room,San Francisco,1
Metropolis,‎$180,66,Private room,San Francisco,1
Casa Madrona And Spa,‎$263,84,Private room,San Francisco,1
Courtyard San Francisco Union Square,‎$170,79,Private room,San Francisco,1
Edwardian,‎$135,71,Private room,San Francisco,1
Grant Plaza,‎$159,63,Private room,San Francisco,1
Grace - A Piece of Pineapple Hospitality,‎$191,76,Private room,San Francisco,1
San Francisco Marriott Union Square,‎$199,84,Private room,San Francisco,1
1906 Mission,‎$197,88,Private room,San Francisco,1
Redwood Inn,‎$170,74,Private room,San Francisco,1
The Payne Mansion,‎$196,83,Private room,San Francisco,1
Four Seasons San Francisco,‎$394,88,Private room,San Francisco,1
The Monarch,‎$127,63,Private room,San Francisco,1
Gramercy Park,‎$336,85,Private room,San Francisco,2
The Surrey,‎$454,90,Private room,San Francisco,2
Lotte New York Palace,‎$214,90,Private room,San Francisco,2
Innside New York NoMad,‎$203,86,Private room,San Francisco,2
Row NYC,‎$149,75,Private room,San Francisco,2
