Name,Price,Rating,Room.Type,City,Bed(s)
"Radisson Midtown at USC, Los Angeles",‎$159,79,Private room,Los Angeles,1
Sheraton Grand Los Angeles,‎$199,76,Private room,Los Angeles,1
Ramada Los Angeles / Downtown West,‎$149,69,Private room,Los Angeles,1
Carlyle Inn,‎$289,78,Private room,Los Angeles,1
Azul Inn West Los Angeles,‎$163,75,Private room,Los Angeles,1
O Hotel,‎$199,73,Private room,Los Angeles,1
Courtyard Los Angeles L.A. Live,‎$259,85,Private room,Los Angeles,1
The Westin Los Angeles Airport,‎$127,77,Private room,Los Angeles,1
Millennium Biltmore Los Angeles,‎$216,76,Private room,Los Angeles,1
Embassy Suites Los Angeles-International Airport North,‎$169,83,Private room,Los Angeles,1
Intercontinental Los Angeles Century City,‎$383,84,Private room,Los Angeles,1
Comfort Inn CA785,‎$135,76,Private room,Los Angeles,1
Hilton Checkers Los Angeles,‎$233,82,Private room,Los Angeles,1
Farmer's Daughter,‎$250,83,Private room,Los Angeles,1
Extended Stay America Los Angeles - LAX Airport,‎$130,68,Private room,Los Angeles,1
Rodeway Inn Los Angeles,‎$144,68,Private room,Los Angeles,1
Sunset Inn and Suites,‎$215,78,Private room,Los Angeles,1
Crowne Plaza Los Angeles International Airport,‎$127,80,Private room,Los Angeles,1
JJ Grand,‎$139,65,Private room,Los Angeles,1
Normandie LA,‎$189,88,Private room,Los Angeles,1
The L.A. Hotel Downtown,‎$203,71,Private room,Los Angeles,1
Hilton Checkers Los Angeles,‎$279,88,Private room,Los Angeles,1
W Los Angeles - West Beverly Hills,‎$389,81,Private room,Los Angeles,1
Sheraton Grand Los Angeles,‎$349,83,Private room,Los Angeles,1
Renaissance Los Angeles Airport,‎$199,73,Private room,Los Angeles,1
Shelter Los Angeles,‎$150,79,Private room,Los Angeles,1
Royal Palace Westwood,‎$209,76,Private room,Los Angeles,1
Travelodge Hotel LAX Los Angeles Intl,‎$129,69,Private room,Los Angeles,1
Super 8 Los Angeles Alhambra,‎$95,78,Private room,Los Angeles,1
Stay on Main,‎$103,75,Private room,Los Angeles,1
Super 8 Los Angeles Culver City Area,‎$159,73,Private room,Los Angeles,1
Custom,‎$153,85,Private room,Los Angeles,1
Best Western Plus Dragon Gate Inn,‎$170,77,Private room,Los Angeles,1
Rodeway Inn Convention Center,‎$169,76,Private room,Los Angeles,1
Courtyard by Marriott Los Angeles LAX Century Boulevard,‎$179,83,Private room,Los Angeles,1
Courtyard Los Angeles L.A. Live,‎$389,84,Private room,Los Angeles,1
DoubleTree by Hilton Los Angeles Downtown,‎$249,76,Private room,Los Angeles,1
Stillwell,‎$116,82,Private room,Los Angeles,1
Wilshire Crest,‎$160,83,Private room,Los Angeles,1
Holiday Inn LOS Angeles - LAX Airport,‎$154,68,Private room,Los Angeles,1
Park Plaza Lodge,‎$112,68,Private room,Los Angeles,1
Rotex Western Inn,‎$103,78,Private room,Los Angeles,1
The Angels Suites,‎$269,80,Private room,Los Angeles,1
Corporate Suites In Downtown La Near Staples Center,‎$214,65,Private room,Los Angeles,1
Holiday Inn Express Los Angeles Lax Airport,‎$129,78,Private room,Los Angeles,1
Metro Plaza Los Angeles Downtown,‎$129,72,Private room,Los Angeles,1
Sky,‎$263,69,Private room,Los Angeles,1
The Moment,‎$215,81,Private room,Los Angeles,1
Shelter Los Angeles,‎$162,71,Private room,Los Angeles,1
Americas Best Value Inn - Los Angeles Hollywood,‎$105,69,Private room,Los Angeles,1
Holiday Inn LOS Angeles - LAX Airport,‎$119,72,Private room,Los Angeles,1
The Concourse At Los Angeles Airport,‎$169,70,Private room,Los Angeles,1
Best Western Plus Sunset Plaza,‎$278,84,Private room,Los Angeles,1
Courtyard by Marriott Los Angeles LAX Century Boulevard,‎$174,84,Private room,Los Angeles,1
Friendship Motor Inn,‎$92,83,Private room,Los Angeles,1
The Angels Suites,‎$229,72,Private room,Los Angeles,1
Holiday Inn Express Los Angeles Downtown West,‎$180,76,Private room,Los Angeles,1
Park Plaza Lodge,‎$185,74,Private room,Los Angeles,1
Aventura,‎$148,83,Private room,Los Angeles,1
Quality Inn Los Angeles,‎$80,77,Private room,Los Angeles,1
Best Western Plus Dragon Gate Inn,‎$200,73,Private room,Los Angeles,1
Rotex Western Inn,‎$96,63,Private room,Los Angeles,1
Rodeway Inn Near Venice Beach,‎$170,61,Private room,Los Angeles,1
Dunes Inn Wilshire,‎$135,63,Private room,Los Angeles,1
Royal Viking,‎$90,65,Private room,Los Angeles,1
Beverly Laurel,‎$158,76,Private room,Los Angeles,1
Economy Inn Hollywood,‎$80,64,Private room,Los Angeles,1
Super 8 Los Angeles Lax Airport,‎$99,66,Private room,Los Angeles,1
Travel Inn,‎$70,64,Private room,Los Angeles,1
Bel-Air,‎$645,92,Private room,Los Angeles,2
Sheraton Gateway Los Angeles,‎$170,80,Private room,Los Angeles,2
Omni Los Angeles at California Plaza,‎$203,88,Private room,Los Angeles,2
Miyako,‎$279,80,Private room,Los Angeles,2
JW Marriott Los Angeles,‎$299,87,Private room,Los Angeles,2
The Westin Bonaventure,‎$219,81,Private room,Los Angeles,2
Kimpton Palomar LA Beverly Hills,‎$232,83,Private room,Los Angeles,2
The Ritz-Carlton Los Angeles,‎$499,88,Private room,Los Angeles,2
Luxe City Center Hotel,‎$206,82,Private room,Los Angeles,2
Residence Inn Los Angeles L.A. Live,‎$259,88,Private room,Los Angeles,2
Mr. C Beverly Hills,‎$373,87,Private room,Los Angeles,2
DoubleTree by Hilton Los Angeles Downtown,‎$159,81,Private room,Los Angeles,2
Ace Hotel Downtown Los Angeles,‎$278,83,Private room,Los Angeles,2
Luxe Sunset Boulevard,‎$255,83,Private room,Los Angeles,2
The Orlando,‎$202,81,Private room,Los Angeles,2
Marriott Los Angeles Airport,‎$179,81,Private room,Los Angeles,2
Los Angeles Athletic Club,‎$219,84,Private room,Los Angeles,2
Kimpton Hotel Wilshire,‎$255,82,Private room,Los Angeles,2
Sofitel Los Angeles at Beverly Hills,‎$329,88,Private room,Los Angeles,2
Intercontinental Los Angeles Century City,‎$383,84,Private room,Los Angeles,2
Residence Inn Los Angeles LAX Century Boulevard,‎$178,88,Private room,Los Angeles,2
Beverly Hills Plaza and Spa,‎$275,83,Private room,Los Angeles,2
Courtyard Los Angeles L.A. Live,‎$259,85,Private room,Los Angeles,2
Embassy Suites Los Angeles-International Airport North,‎$169,83,Private room,Los Angeles,2
Crowne Plaza Los Angeles International Airport,‎$127,80,Private room,Los Angeles,2
Farmer's Daughter,‎$262,83,Private room,Los Angeles,2
DoubleTree by Hilton Los Angeles Downtown,‎$199,81,Private room,Los Angeles,2
Courtyard Los Angeles L.A. Live,‎$239,85,Private room,Los Angeles,2
Hilton Los Angeles Airport,‎$151,79,Private room,Los Angeles,2
"Radisson Midtown at USC, Los Angeles",‎$389,79,Private room,Los Angeles,2
O Hotel,‎$224,73,Private room,Los Angeles,2
Crowne Plaza Los Angeles International Airport,‎$127,80,Private room,Los Angeles,2
Ramada Los Angeles / Downtown West,‎$159,69,Private room,Los Angeles,2
The Westin Los Angeles Airport,‎$161,77,Private room,Los Angeles,2
Beverly Hills Plaza and Spa,‎$295,83,Private room,Los Angeles,2
Residence Inn Los Angeles LAX Century Boulevard,‎$198,88,Private room,Los Angeles,2
Howard Johnson Los Angeles / Near Convention Center,‎$149,71,Private room,Los Angeles,2
Marriott Los Angeles Airport,‎$179,81,Private room,Los Angeles,2
Kawada,‎$167,59,Private room,Los Angeles,2
Kimpton Hotel Wilshire,‎$332,82,Private room,Los Angeles,2
Embassy Suites Los Angeles-International Airport North,‎$249,83,Private room,Los Angeles,2
Super 8 Los Angeles Alhambra,‎$80,67,Private room,Los Angeles,2
Sunshine Suites at The Piero,‎$238,74,Private room,Los Angeles,2
Courtyard by Marriott Los Angeles Century City Beverly Hills,‎$207,81,Private room,Los Angeles,2
Holiday Inn Express West Los Angeles,‎$171,76,Private room,Los Angeles,2
Travelodge Hotel LAX Los Angeles Intl,‎$139,73,Private room,Los Angeles,2
Sky,‎$255,69,Private room,Los Angeles,2
Stillwell,‎$111,57,Private room,Los Angeles,2
Miyako,‎$284,80,Private room,Los Angeles,2
Comfort Inn CA785,‎$207,76,Private room,Los Angeles,2
Custom,‎$151,83,Private room,Los Angeles,2
La Quinta Inn & Suites LAX,‎$119,81,Private room,Los Angeles,2
Courtyard by Marriott Los Angeles Century City Beverly Hills,‎$220,85,Private room,Los Angeles,2
JJ Grand,‎$139,79,Private room,Los Angeles,2
Comfort Inn City Center,‎$129,79,Private room,Los Angeles,2
Super 8 Los Angeles Culver City Area,‎$135,73,Private room,Los Angeles,2
The Moment,‎$215,80,Private room,Los Angeles,2
The Mayfair,‎$164,69,Private room,Los Angeles,2
Quality Inn & Suites Los Angeles,‎$124,77,Private room,Los Angeles,2
Super 8 Los Angeles Alhambra,‎$80,83,Private room,Los Angeles,2
Elan,‎$229,88,Private room,Los Angeles,2
The Concourse At Los Angeles Airport,‎$169,71,Private room,Los Angeles,2
Royal Palace Westwood,‎$209,81,Private room,Los Angeles,2
Stay on Main,‎$89,59,Private room,Los Angeles,2
Best Western Plus Eagle Rock Inn,‎$160,82,Private room,Los Angeles,2
Friendship Motor Inn,‎$92,83,Private room,Los Angeles,2
Ramada Los Angeles / Wilshire Center,‎$104,67,Private room,Los Angeles,2
Aventura,‎$148,74,Private room,Los Angeles,2
The L.A. Hotel Downtown,‎$199,81,Private room,Los Angeles,2
Holiday Inn LOS Angeles - LAX Airport,‎$119,76,Private room,Los Angeles,2
Holiday Inn Express Los Angeles Lax Airport,‎$129,73,Private room,Los Angeles,2
Quality Inn Los Angeles,‎$80,69,Private room,Los Angeles,2
Malibu Beach Paradise Apartments,‎$532,57,Private room,Los Angeles,2
Travelodge Hotel LAX Los Angeles Intl,‎$129,80,Private room,Los Angeles,2
Renaissance Los Angeles Airport,‎$189,76,Private room,Los Angeles,2
The L.A. Hotel Downtown,‎$199,79,Private room,Los Angeles,2
The Mayfair,‎$164,60,Private room,Los Angeles,2
Malibu Beach Paradise Apartments,‎$532,82,Private room,Los Angeles,2
Mama Shelter Los Angeles,‎$179,85,Private room,Los Angeles,2
Ramada Los Angeles / Wilshire Center,‎$104,66,Private room,Los Angeles,2
Renaissance Los Angeles Airport,‎$189,82,Private room,Los Angeles,2
The Moment,‎$215,81,Private room,Los Angeles,2
Royal Palace Westwood,‎$209,81,Private room,Los Angeles,2
Quality Inn Los Angeles,‎$80,77,Private room,Los Angeles,2
Americas Best Value Inn - Los Angeles Hollywood,‎$105,69,Private room,Los Angeles,2
The Angels Suites,‎$229,72,Private room,Los Angeles,2
Comfort Inn Near Old Town Pasadena,‎$116,81,Private room,Los Angeles,2
The Concourse At Los Angeles Airport,‎$169,70,Private room,Los Angeles,2
The Willow,‎$150,81,Private room,Los Angeles,2
Best Western Plus Sunset Plaza,‎$278,84,Private room,Los Angeles,2
Holiday Inn LOS Angeles - LAX Airport,‎$119,72,Private room,Los Angeles,2
Courtyard by Marriott Los Angeles LAX Century Boulevard,‎$174,84,Private room,Los Angeles,2
Clarion Inn at Universal Studios Hollywood,‎$218,72,Private room,Los Angeles,2
