Name,Price,Rating,Room.Type,City,Bed(s)
Residence Inn Los Angeles L.A. Live,‎$259,88,Private room,la,2
Mr. C Beverly Hills,‎$373,87,Private room,la,2
DoubleTree by Hilton Los Angeles Downtown,‎$159,81,Private room,la,2
Ace Hotel Downtown Los Angeles,‎$278,83,Private room,la,2
Luxe Sunset Boulevard,‎$255,83,Private room,la,2
The Orlando,‎$202,81,Private room,la,2
Marriott Los Angeles Airport,‎$179,81,Private room,la,2
Los Angeles Athletic Club,‎$219,84,Private room,la,2
Kimpton Hotel Wilshire,‎$255,82,Private room,la,2
Sofitel Los Angeles at Beverly Hills,‎$329,88,Private room,la,2
Intercontinental Los Angeles Century City,‎$383,84,Private room,la,2
Residence Inn Los Angeles LAX Century Boulevard,‎$178,88,Private room,la,2
Beverly Hills Plaza and Spa,‎$275,83,Private room,la,2
Courtyard Los Angeles L.A. Live,‎$259,85,Private room,la,2
Embassy Suites Los Angeles-International Airport North,‎$169,83,Private room,la,2
Crowne Plaza Los Angeles International Airport,‎$127,80,Private room,la,2
Farmer's Daughter,‎$262,83,Private room,la,2
DoubleTree by Hilton Los Angeles Downtown,‎$199,81,Private room,la,2
Courtyard Los Angeles L.A. Live,‎$239,85,Private room,la,2
Hilton Los Angeles Airport,‎$151,79,Private room,la,2
"Radisson Midtown at USC, Los Angeles",‎$389,79,Private room,la,2
O Hotel,‎$224,73,Private room,la,2
Crowne Plaza Los Angeles International Airport,‎$127,80,Private room,la,2
Ramada Los Angeles / Downtown West,‎$159,69,Private room,la,2
The Westin Los Angeles Airport,‎$161,77,Private room,la,2
Beverly Hills Plaza and Spa,‎$295,83,Private room,la,2
Residence Inn Los Angeles LAX Century Boulevard,‎$198,88,Private room,la,2
Howard Johnson Los Angeles / Near Convention Center,‎$149,71,Private room,la,2
Marriott Los Angeles Airport,‎$179,81,Private room,la,2
Kawada,‎$167,59,Private room,la,2
Kimpton Hotel Wilshire,‎$332,82,Private room,la,2
Embassy Suites Los Angeles-International Airport North,‎$249,83,Private room,la,2
Super 8 Los Angeles Alhambra,‎$80,67,Private room,la,2
Sunshine Suites at The Piero,‎$238,74,Private room,la,2
Courtyard by Marriott Los Angeles Century City Beverly Hills,‎$207,81,Private room,la,2
Holiday Inn Express West Los Angeles,‎$171,76,Private room,la,2
Travelodge Hotel LAX Los Angeles Intl,‎$139,73,Private room,la,2
Sky,‎$255,69,Private room,la,2
Stillwell,‎$111,57,Private room,la,2
Miyako,‎$284,80,Private room,la,2
Comfort Inn CA785,‎$207,76,Private room,la,2
Custom,‎$151,83,Private room,la,2
La Quinta Inn & Suites LAX,‎$119,81,Private room,la,2
Courtyard by Marriott Los Angeles Century City Beverly Hills,‎$220,85,Private room,la,2
JJ Grand,‎$139,79,Private room,la,2
Comfort Inn City Center,‎$129,79,Private room,la,2
Super 8 Los Angeles Culver City Area,‎$135,73,Private room,la,2
The Moment,‎$215,80,Private room,la,2
The Mayfair,‎$164,69,Private room,la,2
Quality Inn & Suites Los Angeles,‎$124,77,Private room,la,2
Super 8 Los Angeles Alhambra,‎$80,83,Private room,la,2
Elan,‎$229,88,Private room,la,2
The Concourse At Los Angeles Airport,‎$169,71,Private room,la,2
Royal Palace Westwood,‎$209,81,Private room,la,2
Stay on Main,‎$89,59,Private room,la,2
Best Western Plus Eagle Rock Inn,‎$160,82,Private room,la,2
Friendship Motor Inn,‎$92,83,Private room,la,2
Ramada Los Angeles / Wilshire Center,‎$104,67,Private room,la,2
Aventura,‎$148,74,Private room,la,2
The L.A. Hotel Downtown,‎$199,81,Private room,la,2
Holiday Inn LOS Angeles - LAX Airport,‎$119,76,Private room,la,2
Holiday Inn Express Los Angeles Lax Airport,‎$129,73,Private room,la,2
Quality Inn Los Angeles,‎$80,69,Private room,la,2
Malibu Beach Paradise Apartments,‎$532,57,Private room,la,2
Travelodge Hotel LAX Los Angeles Intl,‎$129,80,Private room,la,2
Renaissance Los Angeles Airport,‎$189,76,Private room,la,2
The L.A. Hotel Downtown,‎$199,79,Private room,la,2
The Mayfair,‎$164,60,Private room,la,2
Malibu Beach Paradise Apartments,‎$532,82,Private room,la,2
Mama Shelter Los Angeles,‎$179,85,Private room,la,2
Ramada Los Angeles / Wilshire Center,‎$104,66,Private room,la,2
Renaissance Los Angeles Airport,‎$189,82,Private room,la,2
The Moment,‎$215,81,Private room,la,2
Royal Palace Westwood,‎$209,81,Private room,la,2
Quality Inn Los Angeles,‎$80,77,Private room,la,2
Americas Best Value Inn - Los Angeles Hollywood,‎$105,69,Private room,la,2
The Angels Suites,‎$229,72,Private room,la,2
Comfort Inn Near Old Town Pasadena,‎$116,81,Private room,la,2
The Concourse At Los Angeles Airport,‎$169,70,Private room,la,2
The Willow,‎$150,81,Private room,la,2
Best Western Plus Sunset Plaza,‎$278,84,Private room,la,2
Holiday Inn LOS Angeles - LAX Airport,‎$119,72,Private room,la,2
Courtyard by Marriott Los Angeles LAX Century Boulevard,‎$174,84,Private room,la,2
Clarion Inn at Universal Studios Hollywood,‎$218,72,Private room,la,2
Knights Inn Los Angeles Central Convention Center Area,‎$129,71,Private room,la,2
Garden Suite,‎$119,65,Private room,la,2
Metro Plaza Los Angeles Downtown,‎$129,72,Private room,la,2
Scdeal Avalo Suites,‎$269,81,Private room,la,2
Oxford Palace,‎$129,75,Private room,la,2
Best Western Plus Dragon Gate Inn,‎$200,73,Private room,la,2
Park Plaza Lodge,‎$185,74,Private room,la,2
