Accomodates,Bathroom(s),Bedroom(s),Bed(s),Check.In,Check.Out,Property.Type,Room.Type,Cost.Per.Extra.Person,Weekly.Discount(%),Monthly.Discount(%),Cancellation.Policy,Response.Time,ID,Price,e,City,Earliest.Check.In
2,1,1,1,unspecified,unspecified,Apartment,Private room,unspecified,15,36,Flexible,within an hour,3976521,75,1300,ch,Unspecified
2,1.5,1,1,unspecified,unspecified,House,Private room,$7,15,0,Strict,within an hour,9690523,46,1306,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,$20,unspecified,unspecified,Flexible,within an hour,13601696,50,1308,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within an hour,12076738,66,1314,ch,Unspecified
3,1,0,2,unspecified,unspecified,Apartment,Entire home/apt,No Charge,5,25,Strict,within an hour,12211390,75,1315,ch,Unspecified
2,1,1,1,unspecified,11AM,Condominium,Private room,No Charge,15,30,Strict,within an hour,8824621,90,1316,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,unspecified,15,36,Flexible,within an hour,3976521,32,1318,ch,Unspecified
2,1.5,1,1,unspecified,unspecified,House,Private room,$7,15,0,Strict,within an hour,9690523,72,1324,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,$20,unspecified,unspecified,Flexible,within an hour,13601696,75,1326,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within an hour,12076738,99,1332,ch,Unspecified
3,1,0,2,unspecified,unspecified,Apartment,Entire home/apt,No Charge,5,25,Strict,within an hour,12211390,129,1333,ch,Unspecified
2,1,1,1,unspecified,11AM,Condominium,Private room,No Charge,15,30,Strict,within an hour,8824621,45,1334,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,unspecified,15,36,Flexible,within an hour,3976521,75,1336,ch,Unspecified
2,1.5,1,1,unspecified,unspecified,House,Private room,$7,15,0,Strict,within an hour,9690523,46,1342,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,$20,unspecified,unspecified,Flexible,within an hour,13601696,50,1344,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,55,1353,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,84,1357,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,60,1358,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,16,1359,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,55,1371,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,84,1375,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,60,1376,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,16,1377,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,55,1389,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,84,1393,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,60,1394,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,16,1395,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,85,1407,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,199,1411,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,65,1412,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,140,1413,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within an hour,12076738,99,1422,ch,Unspecified
3,1,0,2,unspecified,unspecified,Apartment,Entire home/apt,No Charge,5,25,Strict,within an hour,12211390,129,1423,ch,Unspecified
2,1,1,1,unspecified,11AM,Condominium,Private room,No Charge,15,30,Strict,within an hour,8824621,45,1424,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,unspecified,15,36,Flexible,within an hour,3976521,75,1426,ch,Unspecified
2,1.5,1,1,unspecified,unspecified,House,Private room,$7,15,0,Strict,within an hour,9690523,46,1432,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,$20,unspecified,unspecified,Flexible,within an hour,13601696,50,1434,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,55,1443,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,84,1447,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,60,1448,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,16,1449,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,85,1461,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,199,1465,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,65,1466,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,140,1467,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,55,1479,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,84,1483,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,60,1484,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,16,1485,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,85,1497,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,199,1501,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,65,1502,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,140,1503,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within an hour,12076738,66,1512,ch,Unspecified
3,1,0,2,unspecified,unspecified,Apartment,Entire home/apt,No Charge,5,25,Strict,within an hour,12211390,75,1513,ch,Unspecified
2,1,1,1,unspecified,11AM,Condominium,Private room,No Charge,15,30,Strict,within an hour,8824621,90,1514,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,unspecified,15,36,Flexible,within an hour,3976521,32,1516,ch,Unspecified
2,1.5,1,1,unspecified,unspecified,House,Private room,$7,15,0,Strict,within an hour,9690523,72,1522,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,$20,unspecified,unspecified,Flexible,within an hour,13601696,75,1524,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,55,1533,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,84,1537,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,60,1538,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,16,1539,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within an hour,12076738,66,1548,ch,Unspecified
3,1,0,2,unspecified,unspecified,Apartment,Entire home/apt,No Charge,5,25,Strict,within an hour,12211390,75,1549,ch,Unspecified
2,1,1,1,unspecified,11AM,Condominium,Private room,No Charge,15,30,Strict,within an hour,8824621,90,1550,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,unspecified,15,36,Flexible,within an hour,3976521,32,1552,ch,Unspecified
2,1.5,1,1,unspecified,unspecified,House,Private room,$7,15,0,Strict,within an hour,9690523,72,1558,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,$20,unspecified,unspecified,Flexible,within an hour,13601696,75,1560,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,85,1569,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,199,1573,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,65,1574,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,140,1575,ch,Unspecified
