Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
3, 1,1,2, Anytime after 2PM, 11AM, House, Entire home/apt, $25 / night after 2 guests, 10%, 15%, Strict, within a few hours,4252808,90,82,San Francisco,30
2, 1,1,1, Anytime after 3PM, 10AM, House, Entire home/apt, No Charge, 0%, 40%, Moderate, within an hour,5154242,85,83,San Francisco,42.5
2, 0.5,1,1,,, House, Private room, No Charge,,, Flexible, within an hour,12026845,110,84,San Francisco,55
1, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Shared room,,,, Strict, within an hour,13220657,159,85,San Francisco,159
2, 1.5,1,1, 2PM - 7PM, 11AM, Apartment, Private room, No Charge, 15%, 30%, Moderate, within an hour,13116752,80,86,San Francisco,40
2, 1,1,1,,, House, Private room, No Charge,,, Flexible, within an hour,9471416,85,87,San Francisco,42.5
1, 1,1,1, Anytime after 3PM,, Apartment, Shared room,,,, Strict, within an hour,13219829,111,88,San Francisco,111
2, 1.5,1,1,,, Apartment, Private room, No Charge, 15%, 30%, Flexible, within an hour,13591379,100,89,San Francisco,50
1, 1,1,1, Anytime after 3PM, 12AM (midnight), Apartment, Shared room,,,, Flexible, within an hour,13139804,100,90,San Francisco,100
2, 1,0,1, 2PM - 2AM (next day), 11AM, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,10783991,36,91,San Francisco,18
2, 1,1,1, 2PM - 2AM (next day), 12PM (noon), House, Private room, No Charge, 15%, 25%, Strict, within an hour,4275896,36,92,San Francisco,18
2, 1,1,1, Anytime after 3PM,, Apartment, Private room, No Charge,,, Flexible, within an hour,14029591,125,93,San Francisco,62.5
2, 1,1,2,,, Condominium, Shared room,, 0%, 0%, Strict, within an hour,1711403,169,94,San Francisco,84.5
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Flexible, within an hour,12023104,75,95,San Francisco,37.5
1, 0.5,1,1,,, Apartment, Private room,,,, Flexible, within an hour,14059646,125,96,San Francisco,125
2, 1 (Private),1,1, Anytime after 4PM, 12PM (noon), House, Private room, No Charge, 0%, 0%, Strict, within an hour,7026287,120,97,San Francisco,60
2, 1 (Shared),1,1, Anytime after 2PM, 12PM (noon), Apartment, Private room, $15 / night after the first guest, 0%, 0%, Strict, within an hour,5338610,70,98,San Francisco,35
4, 1,0,1, Anytime after 12PM (noon), 12PM (noon), Apartment, Entire home/apt, $25 / night after 2 guests,,, Strict, within an hour,6885816,180,99,San Francisco,45
2, 0,1,1, Anytime after 3PM, 11AM, Apartment, Private room, No Charge, 10%, 32%, Moderate, within an hour,8685766,109,100,San Francisco,54.5
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Private room, No Charge, 15%, 30%, Moderate, within a day,791573,96,101,San Francisco,48
2, 1,1,1,,, House, Private room, No Charge,,, Flexible,,10474466,105,102,San Francisco,52.5
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room, No Charge, 15%, 20%, Strict, within an hour,3416013,125,103,San Francisco,62.5
2, 1,1,1,,, House, Private room,, 15%, 20%, Moderate, within an hour,8408710,245,104,San Francisco,122.5
2, 1 (Private),0,1,,, Apartment, Entire home/apt, No Charge, 5%, 0%, Strict, within an hour,2800717,108,105,San Francisco,54
2, 2 (Shared),1,2,,, Apartment, Private room, No Charge, 10%, 0%, Moderate, within an hour,2471457,80,106,San Francisco,40
2, 1 (Private),1,1, Anytime after 3PM, 11AM, Condominium, Entire home/apt,, 5%, 19%, Strict, within an hour,7222704,95,107,San Francisco,47.5
1, 1 (Private),1,1, 3PM - 2AM (next day), 1PM, House, Private room,, 10%, 15%, Flexible, within an hour,7073115,195,108,San Francisco,195
2, 1 (Private),0,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 10%, 20%, Strict, within an hour,13175533,65,109,San Francisco,32.5
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Flexible, within an hour,11106417,190,110,San Francisco,95
2, 1,1,1, Anytime after 2PM, 11AM, House, Private room, No Charge, 12%, 18%, Strict, within an hour,10455995,99,111,San Francisco,49.5
2, 1,1,1,,, House, Private room, No Charge,,, Moderate, within an hour,6968158,80,112,San Francisco,40
2, 1,1,1, Anytime after 12PM (noon), 12PM (noon), Apartment, Private room, $30 / night after the first guest, 15%, 40%, Moderate, within an hour,12205354,130,113,San Francisco,65
1, 0.5,1,1,,, Apartment, Private room,,,, Flexible, within an hour,14059646,59,114,San Francisco,59
2, 1 (Private),1,1, Anytime after 3PM,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13641058,89,115,San Francisco,44.5
2, 1,1,1, Anytime after 3PM, 12PM (noon), House, Private room, No Charge, 0%, 12%, Strict, within an hour,12569845,120,116,San Francisco,60
2, 1 (Shared),1,2, 3PM - 5PM, 11AM, House, Private room, No Charge,,, Moderate, within an hour,13732799,135,117,San Francisco,67.5
2, 1,1,1, Anytime after 3PM,, Apartment, Private room, No Charge,,, Flexible, within an hour,14110702,70,118,San Francisco,35
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within a few hours,8288229,180,119,San Francisco,90
1, 1,1,1, Anytime after 2PM, 12PM (noon), Apartment, Private room,, 0%, 0%, Moderate, within an hour,13138137,80,120,San Francisco,80
2, 1,1,1, 3PM - 2AM (next day), 11AM, Apartment, Entire home/apt,, 10%, 15%, Strict, within a few hours,7965068,65,121,San Francisco,32.5
2, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Private room, No Charge, 0%, 0%, Moderate, within a few hours,10773277,200,122,San Francisco,100
2, 0,1,1, Anytime after 3PM, 11AM, Apartment, Private room, No Charge, 10%, 32%, Moderate, within an hour,8685766,80,123,San Francisco,40
2, 1,1,1,,, House, Private room, No Charge, 0%,, Flexible, within a few hours,12846271,195,124,San Francisco,97.5
2, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt,, 10%, 25%, Flexible, within a few hours,200281,110,125,San Francisco,55
2, 1,0,1, Anytime after 4PM, 11AM, Apartment, Entire home/apt,, 14%, 33%, Strict, within a few hours,8520295,160,126,San Francisco,80
2, 1,1,1, Anytime after 12PM (noon),, Apartment, Entire home/apt, No Charge, 10%, 25%, Strict, within an hour,8762967,95,127,San Francisco,47.5
2, 0,1,1, Anytime after 2PM, 11AM, House, Private room,,,, Moderate, within an hour,13022499,115,128,San Francisco,57.5
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Strict, within an hour,9774068,156,129,San Francisco,78
1, 1 (Shared),1,1, 11AM - 11PM, 12PM (noon), Apartment, Shared room,, 3%, 5%, Moderate, within an hour,1408281,129,130,San Francisco,129
3, 1,1,2, Anytime after 3PM, 12PM (noon), Condominium, Entire home/apt, No Charge, 25%,, Strict, within a few hours,13635551,125,131,San Francisco,41.6666666666667
2, 1 (Private),0,2, Flexible, 12PM (noon), Apartment, Entire home/apt, No Charge,,, Strict, within an hour,13477247,75,132,San Francisco,37.5
3, 1,1,2, Anytime after 1PM, 12PM (noon), Apartment, Private room, $40 / night after 2 guests, 20%, 30%, Moderate, within an hour,8904937,142,133,San Francisco,47.3333333333333
2, 1 (Shared),1,1, Anytime after 1PM, 4PM, Apartment, Entire home/apt,, 10%,, Moderate, within a few hours,13866235,190,134,San Francisco,95
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room,, 0%, 0%, Flexible, within a few hours,10418322,185,135,San Francisco,92.5
2, 2,2,2, Anytime after 2PM, 12PM (noon), Apartment, Entire home/apt, No Charge, 15%,, Moderate, within an hour,10840414,250,136,San Francisco,125
2, 1 (Shared),1,1, Anytime after 2PM, 12PM (noon), House, Private room, No Charge, 0%, 0%, Strict, within an hour,8275596,35,137,San Francisco,17.5
2, 1 (Shared),1,1, Anytime after 3PM, 12PM (noon), House, Private room, No Charge, 10%, 15%, Moderate, within an hour,14058974,59,138,San Francisco,29.5
2, 1,1,1, 2PM - 9PM, 11AM, House, Private room, No Charge, 0%, 6%, Strict, within an hour,12657607,100,139,San Francisco,50
1, 1,1,1,,, Apartment, Private room,, 0%, 24%, Strict, within a few hours,2081536,185,140,San Francisco,185
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Private room, $5 / night after the first guest, 0%, 0%, Strict, within an hour,4559621,165,141,San Francisco,82.5
2, 1,0,1,,, Apartment, Entire home/apt, No Charge, 20%, 40%, Moderate, within an hour,11496852,69,142,San Francisco,34.5
3, 1 (Private),1,2, Anytime after 3PM, 12PM (noon), House, Entire home/apt, No Charge, 25%, 0%, Strict, within a few hours,11534385,119,143,San Francisco,39.6666666666667
2, 1,1,1,,, Apartment, Entire home/apt, No Charge, 15%, 0%, Flexible,,11064517,68,144,San Francisco,34
