Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
4, 1 (Private),1,2,,, Apartment, Entire home/apt, $15 / night after the first guest, 15%, 25%, Flexible, within an hour,13924650,100,165,Chicago,25
2, 1 (Private),1,1,,, Apartment, Private room,,,, Flexible, within an hour,10992395,36,166,Chicago,18
2, 1 (Private),1,1, Flexible, 12PM (noon), Apartment, Private room, No Charge, 0%,, Flexible, within an hour,14185704,140,167,Chicago,70
2, 1,1,1,,, Bed & Breakfast, Private room, No Charge, 10%, 30%, Strict, within an hour,11865023,65,168,Chicago,32.5
3, 1,1,2,,, Apartment, Entire home/apt, $20 / night after 2 guests, 10%, 15%, Strict, within a few hours,13417077,63,169,Chicago,21
4, 1 (Private),1,2, Flexible, 12PM (noon), Townhouse, Private room, $10 / night after 2 guests, 10%, 20%, Moderate, within an hour,12997563,100,170,Chicago,25
2, 1,1,1,,, House, Private room, No Charge, 15%, 30%, Flexible, within an hour,8568341,59,171,Chicago,29.5
7, 1,1,4, Anytime after 4PM, 3PM, House, Private room, $25 / night after 2 guests, 11%, 30%, Strict, within an hour,13289061,119,172,Chicago,17
1, 1,1,1,,, Apartment, Shared room,,,, Flexible, within a day,14072818,69,173,Chicago,69
2, 1 (Shared),1,1,,, Loft, Entire home/apt, No Charge, 20%,, Strict, within an hour,12200565,60,174,Chicago,30
2, 1,1,2,,, Condominium, Private room, No Charge, 0%, 20%, Strict, within an hour,13991050,60,175,Chicago,30
2, 1 (Private),0,1, 6PM - 11PM,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13491325,27,176,Chicago,13.5
2, 1,1,1, 1PM - 4PM, 1PM, Apartment, Private room, $5 / night after the first guest,,, Moderate, within an hour,11703362,100,177,Chicago,50
1, 1,1,1,,, Apartment, Private room,, 0%, 0%, Flexible, within an hour,4330309,75,178,Chicago,75
3, 1,1,3, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, $25 / night after the first guest,,, Strict, within a few hours,12998317,89,179,Chicago,29.6666666666667
4, 1 (Private),1,2, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $10 / night after 2 guests, 10%, 15%, Moderate, within an hour,11187498,96,180,Chicago,24
2, 1,1,1, Anytime after 3PM,, Apartment, Shared room, No Charge,,, Flexible, within a day,14067275,149,181,Chicago,74.5
2, 1,1,1, Anytime after 3PM, 1PM, Apartment, Private room, No Charge, 20%, 40%, Moderate, within an hour,14091733,70,182,Chicago,35
2, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Private room, $20 / night after the first guest, 0%, 0%, Strict, within a few hours,8390818,120,183,Chicago,60
4, 1,1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within a few hours,13078943,19,184,Chicago,4.75
2, 1,1,1, 5PM - 12AM (midnight), 10AM, Townhouse, Private room,, 9%, 13%, Strict, within a few hours,11374910,69,185,Chicago,34.5
2, 1,1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible,,13929972,140,186,Chicago,70
2, 1 (Shared),1,1,,, Apartment, Private room, No Charge, 0%, 0%, Moderate, within an hour,13208209,40,187,Chicago,20
2, 1,1,1,,, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,11678771,53,188,Chicago,26.5
2, 1 (Private),0,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13675001,120,189,Chicago,60
1, 1 (Private),1,1,, 1PM, Apartment, Private room,,,, Flexible, within a few hours,9682828,49,190,Chicago,49
4, 2,2,2,,, House, Entire home/apt,, 10%,, Strict, within an hour,11740335,65,191,Chicago,16.25
2, 1 (Private),1,1, 2PM - 4PM, 11AM, Condominium, Private room, No Charge, 0%, 0%, Strict, within a few hours,13859522,100,192,Chicago,50
6, 2 (Private),2,4, Anytime after 1PM, 3PM, Apartment, Entire home/apt, No Charge, 5%, 15%, Moderate,,14126519,30,193,Chicago,5
4, 1 (Private),0,1, Anytime after 4PM, 11AM, Apartment, Entire home/apt, $25 / night after 2 guests, 5%, 10%, Strict, within an hour,4083688,35,194,Chicago,8.75
2, 1 (Shared),1,1,,, Townhouse, Private room, No Charge,,, Flexible, within an hour,13937282,30,195,Chicago,15
3, 1,1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $25 / night after 2 guests, 15%, 33%, Moderate, within an hour,4855560,30,196,Chicago,10
4, 1 (Private),0,1, Flexible, 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,13539103,30,197,Chicago,7.5
4, 1,0,2, Anytime after 4PM, 12PM (noon), Apartment, Entire home/apt, $60 / night after 2 guests, 10%, 20%, Strict, within an hour,12448111,50,198,Chicago,12.5
2, 1 (Private),0,1, Anytime after 4PM, 11AM, Apartment, Entire home/apt, No Charge, 5%, 10%, Strict, within an hour,13630287,95,199,Chicago,47.5
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Private room, $10 / night after the first guest, 0%, 0%, Moderate, within an hour,8826603,80,200,Chicago,40
NA,,NA,NA,,,,,,,,,,13971534,130,201,Chicago,NA
3, 1,1,1,,, House, Private room, No Charge, 0%, 0%, Flexible, within a day,13899794,80,202,Chicago,26.6666666666667
3, 1 (Private),0,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, No Charge, 0%, 0%, Flexible, within a few hours,13204890,60,203,Chicago,20
2, 1 (Private),1,1, Anytime after 1PM, 12PM (noon), Townhouse, Private room,, 10%, 15%, Moderate, within an hour,13205596,130,204,Chicago,65
2, 1 (Shared),1,1, Flexible, 12PM (noon), Apartment, Private room, No Charge, 10%, 30%, Flexible, within an hour,13715617,91,205,Chicago,45.5
1, 0.5,1,2, 6PM - 10PM,, Apartment, Private room,, 5%, 10%, Flexible, within an hour,7825255,95,206,Chicago,95
2, 1,1,1,,, Bed & Breakfast, Private room, $30 / night after the first guest, 0%, 0%, Moderate, within a few hours,14077597,80,207,Chicago,40
2, 1,1,1, Anytime after 1PM, 12PM (noon), Apartment, Private room, No Charge, 0%, 0%, Flexible, within an hour,13541125,60,208,Chicago,30
2, 1,1,1, Anytime after 3PM, 10AM, Townhouse, Private room, $35 / night after the first guest, 0%, 0%, Moderate, within a few hours,10280848,30,209,Chicago,15
2, 1,1,2,,, House, Private room,,,, Strict, within an hour,12602880,100,210,Chicago,50
2, 1 (Shared),0,1, 1PM - 5PM, 12PM (noon), Cabin, Entire home/apt, No Charge,,, Flexible, within a few hours,12579630,63,211,Chicago,31.5
2, 1,1,1, Flexible, 12PM (noon), Apartment, Private room, No Charge, 0%, 0%, Moderate, within an hour,12955756,129,212,Chicago,64.5
2, 1 (Shared),1,2,,, Apartment, Private room, $25 / night after the first guest, 10%,, Flexible, within a few hours,13792420,49,213,Chicago,24.5
1, 1,1,1,,, House, Private room,, 10%, 15%, Flexible, within an hour,12823231,60,214,Chicago,60
4, 1.5,1,2, Anytime after 10AM, 7PM, Apartment, Entire home/apt,, 0%, 0%, Flexible, within an hour,6924711,109,215,Chicago,27.25
2, 1,1,1, Anytime after 2PM, 11AM, House, Private room, $5 / night after the first guest, 0%, 0%, Moderate, within an hour,12254863,46,216,Chicago,23
2, 1,1,1,,, Apartment, Private room,, 15%, 0%, Flexible, within a few hours,11080468,29,217,Chicago,14.5
1, 2 (Shared),1,1, 6PM - 12AM (midnight), 12PM (noon), Apartment, Private room,,,, Strict, within an hour,13379881,135,218,Chicago,135
2, 1,1,1, Anytime after 1PM, 11AM, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13172832,25,219,Chicago,12.5
2, 1,1,1, Anytime after 2PM, 1PM, House, Private room, $15 / night after the first guest, 11%, 27%, Moderate, within an hour,11802754,48,220,Chicago,24
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Private room, $10 / night after the first guest, 0%, 0%, Moderate, within an hour,8811480,74,221,Chicago,37
2, 1 (Shared),1,1, Anytime after 2PM, 11AM, Apartment, Private room, No Charge,,, Moderate, within an hour,13999507,90,222,Chicago,45
1, 1.5,1,1, Anytime after 4PM, 10AM, House, Private room,, 4%, 13%, Strict, within a few hours,7511458,48,223,Chicago,48
4, 1,1,2,,, Apartment, Entire home/apt, No Charge, 0%, 0%, Flexible, within an hour,14152204,60,224,Chicago,15
2, 1,1,1,,, Apartment, Private room, No Charge,,, Flexible, within an hour,13661008,48,225,Chicago,24
2, 1,1,1, 4PM - 9PM, 11AM, House, Private room, $8 / night after the first guest, 0%, 0%, Strict, within an hour,1319996,35,226,Chicago,17.5
4, 1 (Private),1,2, 2PM - 10PM, 12PM (noon), Condominium, Private room, No Charge,,, Flexible, within an hour,13893848,160,227,Chicago,40
3, 1 (Private),0,2, 3PM - 8PM, 11AM, Apartment, Entire home/apt, $30 / night after 2 guests,,, Moderate, within an hour,13140814,55,228,Chicago,18.3333333333333
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Private room, No Charge, 0%, 0%, Moderate, within an hour,13800629,68,229,Chicago,34
2, 1,1,1, Anytime after 4PM, 10AM, Loft, Shared room, $15 / night after the first guest,,, Strict, within a few hours,9767819,125,230,Chicago,62.5
2, 1,1,1,,, Apartment, Private room, No Charge, 15%, 45%, Flexible, within an hour,14026761,200,231,Chicago,100
1, 1 (Shared),1,1, Flexible, 10AM, Apartment, Shared room,, 0%, 0%, Flexible,,14122457,60,232,Chicago,60
3, 1,1,2, Flexible, 5PM, Apartment, Entire home/apt, No Charge, 15%,, Moderate, within a few hours,12248918,60,233,Chicago,20
2, 1,0,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt,, 15%, 22%, Moderate, within an hour,13432797,29,234,Chicago,14.5
1, 1 (Shared),1,1, Flexible, 10AM, Apartment, Shared room,, 0%, 0%, Flexible,,14141543,95,235,Chicago,95
3, 1,0,1, Anytime after 4PM, 11AM, Apartment, Entire home/apt, No Charge, 5%, 5%, Moderate, within an hour,14196281,22,236,Chicago,7.33333333333333
2, 1,1,1, 2PM - 2AM (next day), 11AM, Apartment, Entire home/apt, No Charge, 15%, 35%, Flexible, within a few hours,11670661,46,237,Chicago,23
4, 1 (Private),1,2, 3PM - 10PM, 1PM, Loft, Private room, $25 / night after 2 guests, 20%,, Moderate, within an hour,13429454,40,238,Chicago,10
4, 1 (Private),1,3,,, Apartment, Entire home/apt, $10 / night after the first guest, 0%,, Strict, within an hour,13732536,85,239,Chicago,21.25
2, 1 (Shared),1,1, Anytime after 3PM, 11AM, Apartment, Private room, No Charge, 10%, 0%, Strict, within an hour,14028571,69,240,Chicago,34.5
2, 1 (Private),1,1, Anytime after 3PM, 12PM (noon), Apartment, Private room, $3 / night after the first guest, 14%, 20%, Moderate, within an hour,13511137,65,241,Chicago,32.5
2, 1 (Shared),1,1, Flexible, 12PM (noon), Apartment, Private room, No Charge, 0%, 0%, Moderate, within an hour,13476020,65,242,Chicago,32.5
2, 1 (Shared),1,1, 2PM - 12AM (midnight), 11AM, Apartment, Private room, No Charge, 10%, 10%, Strict, within an hour,5863177,105,243,Chicago,52.5
1, 2,1,1, Flexible, 12PM (noon), Apartment, Private room,, 10%, 20%, Moderate, within an hour,1089455,79,244,Chicago,79
2, 1 (Private),1,1,,, Apartment, Private room, No Charge,,, Flexible, within an hour,14106050,31,245,Chicago,15.5
3, 1,0,1, Anytime after 4PM, 11AM, Apartment, Entire home/apt, No Charge, 5%, 0%, Moderate, within an hour,14196441,75,246,Chicago,25
1, 1,1,1, Anytime after 5PM, 10AM, House, Private room,, 10%, 28%, Strict, within an hour,233528,129,247,Chicago,129
2, 1 (Shared),1,1, Anytime after 3PM, 12PM (noon), Guesthouse, Private room, No Charge,,, Strict, within an hour,14204158,125,248,Chicago,62.5
2, 1 (Shared),1,1, Anytime after 3PM, 12PM (noon), Villa, Private room, $15 / night after the first guest,,, Strict, within an hour,14209537,40,249,Chicago,20
2, 1,0,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13970406,30,250,Chicago,15
3, 1,2,3, Anytime after 4PM, 12PM (noon), Apartment, Entire home/apt, $15 / night after 2 guests, 0%, 20%, Moderate, within an hour,404792,39,251,Chicago,13
2, 1 (Shared),1,2, Anytime after 3PM, 12PM (noon), Apartment, Shared room,, 10%, 25%, Moderate, within a few hours,8300707,45,252,Chicago,22.5
3, 1,1,1, 2PM - 2AM (next day), 11AM, Apartment, Private room, $15 / night after 2 guests, 0%, 0%, Strict, within an hour,1471653,90,253,Chicago,30
2, 1,0,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, No Charge,,, Flexible, within a day,13549246,75,254,Chicago,37.5
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Private room, $10 / night after the first guest, 15%, 20%, Moderate, within an hour,2117557,165,255,Chicago,82.5
2, 1,1,1,, 11AM, Apartment, Private room, $5 / night after the first guest, 11%, 34%, Moderate, within an hour,2204244,44,256,Chicago,22
2, 1 (Shared),1,1, Anytime after 2PM, 12PM (noon), Apartment, Private room, No Charge,,, Flexible, within an hour,14015429,150,257,Chicago,75
3, 1 (Private),2,2, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, $20 / night after 2 guests, 0%, 0%, Flexible, within a few hours,4202063,59,258,Chicago,19.6666666666667
2, 1 (Shared),1,1, Flexible, 12PM (noon), Apartment, Private room, No Charge,,, Moderate, within a few hours,13510788,79,259,Chicago,39.5
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Private room, $15 / night after the first guest, 15%, 30%, Moderate, within an hour,9909328,30,260,Chicago,15
8, 1.5 (Private),3,5, Anytime after 4PM, 12PM (noon), Apartment, Entire home/apt, $5 / night after the first guest, 10%, 25%, Strict, within an hour,12435111,55,261,Chicago,6.875
2, 1 (Shared),1,1, 3PM - 10PM, 11AM, Apartment, Private room, No Charge, 10%, 0%, Strict, within an hour,13859218,108,262,Chicago,54
3, 1,0,1, Anytime after 2PM, 12PM (noon), Apartment, Entire home/apt, No Charge, 0%, 0%, Strict, within an hour,11226310,109,263,Chicago,36.3333333333333
3, 1 (Private),1,1, Flexible, 12PM (noon), Apartment, Entire home/apt, No Charge,,, Strict, within an hour,8900436,89,264,Chicago,29.6666666666667
4, 1,1,2, Anytime after 3PM, 11AM, Apartment, Entire home/apt,, 0%, 0%, Strict, within an hour,7497203,59,265,Chicago,14.75
2, 1,1,1,, 10AM, Apartment, Private room, $30 / night after the first guest, 10%, 25%, Moderate, within an hour,13575171,50,266,Chicago,25
2, 1,1,1,,, House, Private room, No Charge, 0%, 0%, Strict, within an hour,2473938,89,267,Chicago,44.5
3, 1,1,1, Anytime after 12AM (midnight), 12PM (noon), Apartment, Private room, $12 / night after the first guest, 0%, 0%, Moderate, within an hour,13082944,75,268,Chicago,25
2, 1.5 (Shared),1,1, Anytime after 3PM, 10AM, Loft, Private room, $20 / night after the first guest, 0%, 0%, Strict, within an hour,13390468,70,269,Chicago,35
2, 1 (Shared),1,1, 8AM - 2AM (next day), 10PM, Apartment, Private room, No Charge, 10%, 0%, Moderate, within an hour,7418174,70,270,Chicago,35
2, 1,1,1, 3PM - 8PM, 11AM, Apartment, Private room, $10 / night after the first guest, 20%, 40%, Flexible, within an hour,11225001,56,271,Chicago,28
3, 1,1,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $25 / night after 2 guests, 10%, 15%, Strict, within an hour,3798087,59,272,Chicago,19.6666666666667
2, 1 (Private),1,1,,, Apartment, Entire home/apt, No Charge,,, Flexible, within a few hours,13540285,57,273,Chicago,28.5
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Flexible,,5918056,72,274,Chicago,36
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Flexible, within a few hours,13280947,149,275,Chicago,74.5
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Flexible, within an hour,7747636,95,276,Chicago,47.5
2, 2,1,1,,, Apartment, Private room, No Charge, 10%, 18%, Flexible, within an hour,13547837,100,277,Chicago,50
2, 1 (Shared),1,1, 5PM - 9PM, 12PM (noon), Apartment, Private room, $10 / night after the first guest, 10%, 12%, Strict, within an hour,8305935,50,278,Chicago,25
2, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt, No Charge, 0%, 0%, Moderate, within a few hours,13410468,79,279,Chicago,39.5
2, 1,1,1,,, House, Private room, $20 / night after the first guest, 15%, 20%, Flexible, within an hour,13545339,40,280,Chicago,20
2, 1,1,1, Anytime after 2PM, 11AM, Apartment, Entire home/apt, No Charge, 20%, 0%, Moderate, within an hour,13770292,42,281,Chicago,21
2, 1.5,1,1, Anytime after 2PM, 12PM (noon), House, Private room, No Charge, 0%, 0%, Flexible, within an hour,4354983,66,282,Chicago,33
2, 1 (Shared),1,1, 5PM - 9PM, 12PM (noon), Apartment, Private room, $10 / night after the first guest, 10%, 12%, Strict, within an hour,9041069,75,283,Chicago,37.5
2, 1 (Shared),1,1, Flexible,, Apartment, Private room, No Charge, 7%,, Flexible, within a few hours,12367172,90,284,Chicago,45
2, 1,1,1,,, Apartment, Private room, No Charge,,, Moderate, within a day,14076418,85,285,Chicago,42.5
8, 1,3,4, Anytime after 4PM, 11AM, Apartment, Entire home/apt, $10 / night after 3 guests, 5%, 10%, Strict, within a few hours,11727954,32,286,Chicago,4
1, 1 (Shared),1,1, 2PM - 10PM, 11AM, Apartment, Private room,, 15%,, Moderate, within an hour,2828802,75,287,Chicago,75
2, 1.5,1,1, Anytime after 2PM, 12PM (noon), House, Private room, No Charge, 0%, 0%, Flexible, within an hour,4354983,99,288,Chicago,49.5
2, 1 (Shared),1,1, 5PM - 9PM, 12PM (noon), Apartment, Private room, $10 / night after the first guest, 10%, 12%, Strict, within an hour,9041069,129,289,Chicago,64.5
2, 1 (Shared),1,1, Flexible,, Apartment, Private room, No Charge, 7%,, Flexible, within a few hours,12367172,45,290,Chicago,22.5
2, 1,1,1,,, Apartment, Private room, No Charge,,, Moderate, within a day,14076418,55,291,Chicago,27.5
